sweep,run_id,key,value
bonusweight#1,1787958271-3930594,commit,4c06e89a3ab048629e882dec857195e6df2d0634
bonusweight#1,1787958271-3930594,dirty,false
bonusweight#1,1787958271-3930594,constants_digest,dce7d7589634
bonusweight#1,1787958271-3930594,bank_up_to,5
bonusweight#1,1787958271-3930594,season,2020-21<-2019-20
bonusweight#1,1787958271-3930594,season,2021-22<-2020-21
bonusweight#1,1787958271-3930594,season,2022-23<-2021-22
bonusweight#1,1787958271-3930594,season,2023-24<-2022-23
bonusweight#1,1787958271-3930594,season,2024-25<-2023-24
bonusweight#1,1787958271-3930594,season,2025-26<-2024-25
bonusweight#1,1787958271-3930594,start_gw,1
bonusweight#1,1787958271-3930594,start_gw,6
bonusweight#1,1787958271-3930594,start_gw,11
bonusweight#1,1787958271-3930594,start_gw,16
bonusweight#1,1787958271-3930594,start_gw,21
bonusweight#1,1787958271-3930594,start_gw,26
bonusweight#1,1787958271-3930594,declared_arm,0	bonus_weight 1.5 — the evidence end of the schedule (SHIPS)
bonusweight#1,1787958271-3930594,declared_arm,1	bonus_weight 0.5 — collapses the schedule to flat prior
bonusweight#1,1787958271-3930594,declared_arm,"2	bonus_weight 1.0 — the old flat table's peak, under the schedule"
bonusweight#1,1787958271-3930594,declared_arm,3	bonus_weight 2.0 — leaning further into a circular term
bonusweight#1,1787958271-3930594,constant,chip_plan.bench_boost_gameweek	8
bonusweight#1,1787958271-3930594,constant,chip_plan.free_hit_gameweek	16
bonusweight#1,1787958271-3930594,constant,chip_plan.triple_captain_gameweek	9
bonusweight#1,1787958271-3930594,constant,chip_plan.wildcard_gameweek	6
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
bonusweight#1,1787958271-3930594,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
bonusweight#1,1787958271-3930594,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
bonusweight#1,1787958271-3930594,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
bonusweight#1,1787958271-3930594,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
bonusweight#1,1787958271-3930594,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.BRE[0].note	enters at round two
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.BRE[0].start_date	2026-08-26
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.CHE[0].competition	League Cup
bonusweight#1,1787958271-3930594,constant,"congestion.domestic_cup_campaigns.CHE[0].match_dates	6 items, sha f7a87904"
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.CHE[0].note	enters at round two
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.CHE[0].start_date	2026-08-26
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.COV[0].competition	League Cup
bonusweight#1,1787958271-3930594,constant,"congestion.domestic_cup_campaigns.COV[0].match_dates	6 items, sha f7a87904"
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.COV[0].note	enters at round two
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.COV[0].start_date	2026-08-26
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.CRY[0].competition	League Cup
bonusweight#1,1787958271-3930594,constant,"congestion.domestic_cup_campaigns.CRY[0].match_dates	5 items, sha 3f0a0705"
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.CRY[0].note	enters at round three as a European qualifier
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.CRY[0].start_date	2026-09-15
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.EVE[0].competition	League Cup
bonusweight#1,1787958271-3930594,constant,"congestion.domestic_cup_campaigns.EVE[0].match_dates	6 items, sha f7a87904"
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.EVE[0].note	enters at round two
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.EVE[0].start_date	2026-08-26
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.FUL[0].competition	League Cup
bonusweight#1,1787958271-3930594,constant,"congestion.domestic_cup_campaigns.FUL[0].match_dates	6 items, sha f7a87904"
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.FUL[0].note	enters at round two
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.FUL[0].start_date	2026-08-26
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.HUL[0].competition	League Cup
bonusweight#1,1787958271-3930594,constant,"congestion.domestic_cup_campaigns.HUL[0].match_dates	6 items, sha f7a87904"
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.HUL[0].note	enters at round two
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.HUL[0].start_date	2026-08-26
bonusweight#1,1787958271-3930594,constant,congestion.domestic_cup_campaigns.IPS[0].competition	League Cup
